OID_,X,Y,Name,Address,Postal_Code,City,Province,Category,Activity,Outdoor
41,-79.07301755,43.09956785,Digital Golf,5175 Victoria Ave,L2E 4E0,Niagara Falls,ON,Golf courses and country clubs,Golf,Yes
42,-79.24174744,42.98142739,Dunkirk Park,93 Dunkirk Rd,L3B 2N5,Welland,ON,Nature parks and other similar institutions,,
43,-79.26257709,42.98282176,Elmwood Park,78 Elmwood Ave,L3C 0C1,Welland,ON,Nature parks and other similar institutions,Field,Yes
44,-79.74186417,43.14588716,Edwards Memorial Park,1040 Golf Club Rd,,Binbrook,ON,Sports stadiums and other presenters with facilities,Baseball,Yes
45,-79.4785476,43.16801853,Fleming Memorial Arena,5020 Serena Drive,L0R 1B8,Beamsville,ON,Fitness and recreational sports centres,Ice Hockey,
46,-79.10977027,43.06884739,Firemen`s Park Rink,Dorchester Rd,L2G 3P3,Niagara Falls,ON,Sports stadiums and other presenters with facilities,Ice Hockey,
47,-79.2408958,43.17682658,Fairview Lanes,285 Geneva Street,L2N 2G2,St. Catharines,ON,Bowling centres,Bowling,
48,-79.28269027,42.98522754,Gaiser Park,424 Gaiser Rd,L3C 0B5,Welland,ON,Nature parks and other similar institutions,,
49,-79.24102513,43.1797004,Fairview Golf & Mini-putt,325 Geneva Street,L2R 7C2,St. Catharines,ON,Golf courses and country clubs,Golf,Yes
50,-79.21968962,43.15410658,Garden City Golf Course,,,,,,,
,ON,Golf courses and country clubs,Golf,Yes,,,,,,
51,-79.23865301,43.16020584,Garden City Arena Complex,8 Gale Crescent,L2R 7M8,St. Catharines,ON,Sports stadiums and other presenters with facilities,Ice Hockey,
52,-79.0789564,43.11302508,Gale Centre,4171 Fourth Ave,L2G 3P3,Niagara Falls,ON,Sports stadiums and other presenters with facilities,Ice Hockey,
53,-79.21920661,43.0738164,Fox Run Golf Courses And Practice Facility,1792 Hwy 20 Rr 1,L0S 1E6,Fonthill,ON,Golf courses and country clubs,Golf,Yes
54,-79.26254269,43.19970363,Gary Bos Golf Academy,25 Michigan Ave,L2N 4G7,St. Catharines,ON,Golf courses and country clubs,Golf,Yes
55,-79.21142003,43.14399248,George Taylor Field,4 Seymour Ave,L2P 1A3,St. Catharines,ON,Sports stadiums and other presenters with facilities,Baseball,Yes
56,-79.12313236,43.22332157,Gateway Community Church,1665 Four Mile Creek Rd,,Virgil,ON,Sports stadiums and other presenters with facilities,Football,Yes
57,-79.5358846,43.19620033,Glen Castle Golf Inc.,6 Jacobs Landing,L3M 5G7,Grimsby,ON,Golf courses and country clubs,Golf,Yes
58,-79.83921377,43.12879709,Glanbrook Sports Complex,4300 Binbrook Rd West,L0R 1C0,Binbrook,ON,Sports stadiums and other presenters with facilities,Baseball,Yes
59,-79.52196301,43.19433322,Golf 4 Cash Events Golf Tour,417 Bartlett Ave,L3M 2N5,Grimsby,ON,Golf courses and country clubs,Golf,Yes
60,-79.24157016,42.94197658,Glenwood Park,130 Glenwood Pky,L3B 5M6,Welland,ON,Nature parks and other similar institutions,Baseball,Yes
61,-79.27313356,43.00096142,Glen Park,54 Glen Park Drive,L3C 6J9,Welland,ON,Nature parks and other similar institutions,Field,Yes
62,-79.3165409,43.12534552,Golf At Rockway Vineyards,3290 9th Street,L2R 6P7,St. Catharines,ON,Golf courses and country clubs,Golf,Yes
63,-79.21641674,43.16926291,Golf City Motor Caddies Inc.,112 Dunkirk Road,L2P 3H5,St. Catharines,ON,Golf courses and country clubs,Golf,Yes
64,-79.12470765,43.11528949,Golf Etc. Niagara Falls,9-3969 Montrose Rd,L2H 3A1,Niagara Falls,ON,Golf courses and country clubs,Golf,Yes
65,-79.23273236,43.16343258,Golf Network Inc.,B-122 Queenston St,L2R 2Z3,St. Catharines,ON,Golf courses and country clubs,Golf,Yes
66,-79.24232244,43.2071717,Golf Nutz,642 Geneva St,L2N 2J7,St. Catharines,ON,Golf courses and country clubs,Golf,Yes
67,-79.23461497,42.89830967,Goods Sports Excellence,550 Elizabeth St.,,Port Colborne,ON,Sports stadiums and other presenters with facilities,Baseball,Yes
68,-79.2545,42.89124,Golf Port,,,,,,,
,ON,Golf courses and country clubs,Golf,Yes,,,,,,
69,-79.25196246,43.01189913,Gram Avenue Park,64 Gram Ave,L3C 1H3,Welland,ON,Nature parks and other similar institutions,Field,Yes
70,-79.28208375,43.19566523,Gracefield Public School,117 Bayview Dr,L2N 4Y2,St. Catharines,ON,Sports stadiums and other presenters with facilities,Baseball,Yes
71,-79.18428992,43.0246624,Grassy Brook Driving Range,740 Moyer Rd,L3B 5N4,Welland,ON,Golf courses and country clubs,Golf,Yes
72,-79.47002086,43.16351665,Great Lakes Christian College,4875 King St,L0R 1B0,Beamsville,ON,Sports stadiums and other presenters with facilities,Soccer,Yes
73,-79.17972831,43.02222732,Grassy Brook Golf Course,800 Carl Rd,L0S 1K0,Port Robinson,ON,Golf courses and country clubs,Golf,Yes
74,-79.56649749,43.16956604,Grimsby Golf Range,239 Mountain Rd,L3M 4E7,Grimsby,ON,Golf courses and country clubs,Golf,Yes
75,-79.18365965,43.03525985,Grand Niagara Golf Club,8547 Grassy Brook Rd Rr 1,,Port Robinson,ON,Golf courses and country clubs,Golf,Yes
